collection	lane	has_fm	st	ty	path
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/statusline-logo-modularisation.plan.md
agent-tooling	current	y	🟢 COMPLETE	<none>	.agent/plans/agent-tooling/current/sub-agent-rename-and-skill-integration.plan.md
agent-tooling	current	y	exploration	<none>	.agent/plans/agent-tooling/current/team-autonomy-primitive-decisions-exploration.plan.md
agent-tooling	current	y	exploration	<none>	.agent/plans/agent-tooling/current/team-opener-generalisation-exploration.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/adapter-generation.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/agent-classification-taxonomy.plan.md
agent-tooling	future	y	<none>	<none>	.agent/plans/agent-tooling/future/agent-coordination-cli-ergonomics-and-request-correlation.plan.md
agent-tooling	future	y	future	tooling-workspace-organisation	.agent/plans/agent-tooling/future/agent-graphs-workspace-organisation.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/agent-infrastructure-coherence-audit.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/canonical-first-skill-pack-ingestion-tooling.plan.md
agent-tooling	future	y	future-strategic	<none>	.agent/plans/agent-tooling/future/claim-liveness-crash-reconciliation-and-session-forensics.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/codex-session-identity-plumbing.plan.md
agent-tooling	future	y	future	developer-experience	.agent/plans/agent-tooling/future/collaboration-directive-decomposition.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/collaboration-state-domain-model-and-comms-reliability.plan.md
agent-tooling	future	y	active-strategic-exploration	<none>	.agent/plans/agent-tooling/future/collaboration-substrate-coordination-rightsizing.plan.md
agent-tooling	future	y	decision-incomplete	<none>	.agent/plans/agent-tooling/future/comms-watch-liveness-floor.plan.md
agent-tooling	future	y	future	developer-experience	.agent/plans/agent-tooling/future/coordination-watcher-canonicalisation.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/cross-vendor-session-sidecars.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/cspell-quality-gate.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/hook-policy-typescript-and-schema-unification.plan.md
agent-tooling	future	n	<none>	<none>	.agent/plans/agent-tooling/future/hooks-portability.plan.md
agent-tooling	future	y	<none>	<none>	.agent/plans/agent-tooling/future/intent-to-commit-and-session-counter.plan.md
agent-tooling	future	y	<none>	<none>	.agent/plans/agent-tooling/future/joint-agent-decision-protocol.plan.md
agent-tooling	future	y	future	agent-tooling	.agent/plans/agent-tooling/future/relative-link-integrity-live-lanes-validator.plan.md
agent-tooling	future	y	complete	<none>	.agent/plans/agent-tooling/future/routing-legacy-fallback-sunset.plan.md
agent-tooling	future	y	future	agent-tooling	.agent/plans/agent-tooling/future/rules-cross-platform-generator.plan.md
agent-tooling	future	y	future	agent-tooling	.agent/plans/agent-tooling/future/skills-eval-harness.plan.md
agent-tooling	future	y	future	agent-tooling	.agent/plans/agent-tooling/future/skills-oversized-core-decomposition.plan.md
agentic-engineering-enhancements	active	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/active/phase-0-baseline-metrics.plan.md
agentic-engineering-enhancements	active	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/active/plan-collection-structural-consistency.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/agent-entrypoint-content-homing.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/agentic-corpus-discoverability-and-deep-dive-hub.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/architectural-enforcement-adoption.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/branch-fitness-and-push-cadence.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/build-vs-buy-attestation-pdr-and-adr-163-amendment.plan.md
agentic-engineering-enhancements	current	y	DRAFT — pending owner approval to open	<none>	.agent/plans/agentic-engineering-enhancements/current/bulk-data-rebaseline-and-infra-impact-investigation.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/claude-insight-report-2026-05-10-disposition.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/collaboration-state-surface-restructure.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/commit-queue-multi-writer-cure.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/completion-claim-proof-pipeline.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/consolidate-docs-mode-contract-and-buffer-drain.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/doctrine-enforcement-quick-wins.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/elasticsearch-specialist-capability.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/fitness-frontmatter-manifest-sweep.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/fitness-system-closure-and-role-routing.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/fitness-token-measurements-and-frontmatter-mandation.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/governance-concepts-and-agentic-mechanism-integration.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/hallucination-and-evidence-guard-adoption.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/harness-concepts-adoption.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/hook-matcher-string-awareness-cure.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/knowledge-flow-pipeline-mechanisms.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/knowledge-role-documentation-restructure.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/learning-loop-negative-feedback-tightening.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/memory-feedback-and-emergent-learning-mechanisms.execution.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/memory-state-substrate-portable-contracts.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/moving-targets-in-permanent-docs-remediation.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/mutation-testing-implementation.plan.md
agentic-engineering-enhancements	current	y	current	strategic	.agent/plans/agentic-engineering-enhancements/current/no-type-widening-enforcement.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/open-questions-memory-system.plan.md
agentic-engineering-enhancements	current	y	decision-incomplete	<none>	.agent/plans/agentic-engineering-enhancements/current/plan-index-reachability-remediation.plan.md
agentic-engineering-enhancements	current	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/planning-specialist-capability.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/practice-and-process-structural-improvements.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/practice-core-portability-strict-enforcement.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/practice-graph-payoff-peak-pilot.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/practice-lineage-principle-graduation.plan.md
agentic-engineering-enhancements	current	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/reviewer-gateway-upgrade.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/role-emission-citation-binding.plan.md
agentic-engineering-enhancements	current	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/sentry-specialist-capability.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/session-open-env-freshness-check.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/token-remediation-p8-parallel-program.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/trinity-active-principles-extensions-2026-04-29.plan.md
agentic-engineering-enhancements	current	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/current/validation-and-tdd-doctrine-restructure.plan.md
agentic-engineering-enhancements	future	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/action-time-structural-interrupt-design-space.plan.md
agentic-engineering-enhancements	future	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/closure-pressure-remediation-design-space.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/codex-exec-cli-deep-dive.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/cyber-security-specialist-capability.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/devx-specialist-capability.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/express-specialist-capability.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/external-pointer-surface-integration.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/external-skills-substrate-learning.plan.md
agentic-engineering-enhancements	future	y	future	<none>	.agent/plans/agentic-engineering-enhancements/future/graphify-and-graph-memory-exploration.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/mcp-governance-deep-dive.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/memetic-immune-system-and-progressive-disclosure.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/memory-feedback-and-emergent-learning-mechanisms.plan.md
agentic-engineering-enhancements	future	y	STRATEGIC BRIEF	<none>	.agent/plans/agentic-engineering-enhancements/future/multi-agent-delegation-orchestration.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/ooce-specialist-capability.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/operating-model-mechanism-taxonomy.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/pr-lifecycle-skill.plan.md
agentic-engineering-enhancements	future	y	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/pre-2026-02-15-experience-corpus-extraction.plan.md
agentic-engineering-enhancements	future	y	NOT STARTED — strategic brief	<none>	.agent/plans/agentic-engineering-enhancements/future/principles-entrypoint-content-homing.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/privacy-specialist-capability.plan.md
agentic-engineering-enhancements	future	y	future	<none>	.agent/plans/agentic-engineering-enhancements/future/recurrence-prevention-after-vercel-branch-url-bug.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/repair-workflow-wording-hazard-detection.plan.md
agentic-engineering-enhancements	future	y	future	planning-methodology	.agent/plans/agentic-engineering-enhancements/future/seam-map-plan-template-archetype.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/tdd-specialist-capability.plan.md
agentic-engineering-enhancements	future	y	EXPLORATION	<none>	.agent/plans/agentic-engineering-enhancements/future/team-handoff-routing-and-action-log-exploration.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/web-api-gdpr-specialist-capability.plan.md
agentic-engineering-enhancements	future	n	<none>	<none>	.agent/plans/agentic-engineering-enhancements/future/web-api-security-specialist-capability.plan.md
architecture-and-infrastructure	active	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/active/build-tools-workspace-extraction.plan.md
architecture-and-infrastructure	active	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/active/eslint-disable-remediation.plan.md
architecture-and-infrastructure	active	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/active/sentry-otel-integration.execution.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/architectural-documentation-excellence-synthesis.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/doc-architecture-phase-a-immediate.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/doc-architecture-phase-b-dependent.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/main-critical-sonar-rebuild-from-updated-main.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/no-io-test-boundary-and-di-recovery.plan.md
architecture-and-infrastructure	current	y	"READY — survey-first (WS0). Remediation PAUSED by owner 2026-06-19 to progress the strategy-and-plan-estate-holistic-review thread; resume from WS0. SUPERSEDES the convert-all framing of no-throw-statement-result-migration.plan.md (which becomes a dated input the WS0 survey validates)."	<none>	.agent/plans/architecture-and-infrastructure/current/no-throw-remediation.plan.md
architecture-and-infrastructure	current	y	"SUPERSEDED (2026-06-19) by no-throw-remediation.plan.md — the owner reopened the convert-all framing (distrust of the per-site analysis; tests-first priority; reassess-gate). This plan + its 92KB worklist are now a DATED INPUT the remediation plan's WS0 survey validates or replaces. D6 (convert-every-throw) is REOPENED, decided at the remediation plan's WS4 gate. Do not execute this plan's WS0-WS9 directly; start from no-throw-remediation.plan.md."	<none>	.agent/plans/architecture-and-infrastructure/current/no-throw-statement-result-migration.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/observability-strategy-restructure.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/pr-90-landing-closure.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/quality-gate-hardening.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/scripts-validator-family-workspace-migration.plan.md
architecture-and-infrastructure	current	y	"queued"	<none>	.agent/plans/architecture-and-infrastructure/current/security-dependency-triage.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/sonarjs-activation-and-sonarcloud-backlog.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/test-ceremony-production-factory-audit.plan.md
architecture-and-infrastructure	current	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/current/workspace-layer-separation-audit.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/architectural-budget-enforcement-layer.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/architectural-budget-system-across-scales.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/architectural-budget-visibility-layer.plan.md
architecture-and-infrastructure	future	n	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/build-pipeline-composition-safeguards.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/clerk-cli-adoption.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/codex-mcp-server-compatibility.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/ground-truth-archive-retirement.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/monorepo-workspace-topology-adr-and-canonical-plan.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/oak-search-cli-command-surface-rationalisation.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/oak-surface-isolation-and-generic-foundation-programme.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/observability-and-quality-metrics.plan.md
architecture-and-infrastructure	future	n	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/scripts-validator-family-workspace-migration.plan.md
architecture-and-infrastructure	future	y	future	<none>	.agent/plans/architecture-and-infrastructure/future/search-cli-ingestion-pipeline-consolidation.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/teacher-memory-store-solid-vs-user-keyed-private-store.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/test-suite-audit-and-triage.plan.md
architecture-and-infrastructure	future	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/throw-to-result-migration.plan.md
architecture-and-infrastructure	future	n	<none>	<none>	.agent/plans/architecture-and-infrastructure/future/vercel-build-warning-elimination.plan.md
architecture-and-infrastructure	other	y	<none>	<none>	.agent/plans/architecture-and-infrastructure/static-analysis-tool-promotion.plan.md
connecting-oak-resources	future	y	future	<none>	.agent/plans/connecting-oak-resources/external-oak-references/future/external-oak-references-deep-research.plan.md
connecting-oak-resources	active	y	<none>	<none>	.agent/plans/connecting-oak-resources/knowledge-graph-integration/active/agent-guidance-consolidation.plan.md
connecting-oak-resources	active	y	active	<none>	.agent/plans/connecting-oak-resources/knowledge-graph-integration/active/graph-stack.plan.md
connecting-oak-resources	current	y	current	executable	.agent/plans/connecting-oak-resources/knowledge-graph-integration/current/graph-estate-consolidation.plan.md
connecting-oak-resources	current	y	current	executable	.agent/plans/connecting-oak-resources/knowledge-graph-integration/current/graph-tools-value-redesign.plan.md
connecting-oak-resources	future	y	parked	<none>	.agent/plans/connecting-oak-resources/knowledge-graph-integration/future/cross-source-journeys.plan.md
connecting-oak-resources	future	y	future	<none>	.agent/plans/connecting-oak-resources/knowledge-graph-integration/future/extending-graph-support-tooling.plan.md
connecting-oak-resources	future	y	<none>	<none>	.agent/plans/connecting-oak-resources/knowledge-graph-integration/future/nc-knowledge-taxonomy-surface.plan.md
connecting-oak-resources	future	y	parked	feature-workstream	.agent/plans/connecting-oak-resources/knowledge-graph-integration/future/oak-kg-threads-surface.plan.md
connecting-oak-resources	future	y	parked	strategic	.agent/plans/connecting-oak-resources/knowledge-graph-integration/future/oak-misconceptions-graph-features.plan.md
curriculum-mcp-path-to-ga	future	y	future	future-strategic-stub	.agent/plans/curriculum-mcp-path-to-ga/future/launch-readiness-and-milestone-redefinition.plan.md
developer-experience	active	y	<none>	<none>	.agent/plans/developer-experience/active/devx-strictness-convergence.plan.md
developer-experience	current	y	<none>	<none>	.agent/plans/developer-experience/current/directory-complexity-enablement.execution.plan.md
developer-experience	future	y	exploration	<none>	.agent/plans/developer-experience/future/cursor-plugins-practice-and-oak-developer.plan.md
developer-experience	future	n	<none>	<none>	.agent/plans/developer-experience/future/tsdoc-generated-docs-overhaul.plan.md
discovery	current	y	current	executable	.agent/plans/discovery/current/agent-readiness-discovery-hub.plan.md
discovery	future	y	strategic-tracking	<none>	.agent/plans/discovery/future/agent-skills-discovery.plan.md
discovery	future	y	strategic-parent	<none>	.agent/plans/discovery/future/agentic-mechanisms-discovery.plan.md
discovery	future	y	strategic-tracking	<none>	.agent/plans/discovery/future/aila-a2a-agent-card.plan.md
discovery	future	y	strategic-tracking	<none>	.agent/plans/discovery/future/dns-aid-discovery.plan.md
discovery	future	y	strategic-tracking	<none>	.agent/plans/discovery/future/mcp-server-cards.plan.md
discovery	future	y	strategic	<none>	.agent/plans/discovery/future/skills-classification-taxonomy.plan.md
discovery	future	y	strategic-tracking	<none>	.agent/plans/discovery/future/web-bot-auth-agent-verification.plan.md
discovery	future	y	strategic-tracking	<none>	.agent/plans/discovery/future/webmcp-human-site-operability.plan.md
exploring-open-education-resources	future	y	future	<none>	.agent/plans/exploring-open-education-resources/external-knowledge-sources/future/education-skills-mcp-surface.plan.md
exploring-open-education-resources	future	y	future	<none>	.agent/plans/exploring-open-education-resources/external-knowledge-sources/future/external-knowledge-graph-data-source-integration.plan.md
observability	active	y	<none>	<none>	.agent/plans/observability/active/gate-recovery-cadence.plan.md
observability	active	y	<none>	<none>	.agent/plans/observability/active/sentry-observability-maximisation-mcp.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/accessibility-observability.plan.md
observability	current	y	current	<none>	.agent/plans/observability/current/feat-eef-exploration-completion.plan.md
observability	current	y	current	executable	.agent/plans/observability/current/mcp-outbound-token-health.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/multi-sink-vendor-independence-conformance.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/observability-events-workspace.plan.md
observability	current	y	current	<none>	.agent/plans/observability/current/observability-sinks-decoupling.plan.md
observability	current	y	current	<none>	.agent/plans/observability/current/post-pr-87-merge-pipeline-triage.plan.md
observability	current	y	current	<none>	.agent/plans/observability/current/pr-87-codeql-alerts.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/pr-93-sonar-quality-gate-resolution.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/search-observability.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/security-observability.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/sentry-preview-validation-and-quality-triage.plan.md
observability	current	y	<none>	<none>	.agent/plans/observability/current/sentry-release-identifier-single-source-of-truth.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/ai-telemetry-wiring.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/cost-and-capacity-telemetry.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/cross-system-correlated-tracing.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/curriculum-content-observability.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/customer-facing-status-page.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/deployment-impact-bisection.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/feature-flag-provider-selection.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/mcp-http-runtime-canonicalisation.plan.md
observability	future	y	future	<none>	.agent/plans/observability/future/no-problem-hiding-patterns-rule-reinstatement.plan.md
observability	future	y	<none>	<none>	.agent/plans/observability/future/observability-plan-consolidation-and-rationalisation.plan.md
observability	future	y	completed	<none>	.agent/plans/observability/future/pr-93-sonar-oak-eslint-claim-overlap.plan.md
observability	future	y	strategic-brief	<none>	.agent/plans/observability/future/second-backend-evaluation.plan.md
