number,author,title,created_at,ready_at,merged_at,latency_minutes,commits,issue_comments,review_threads,reviews,total_comments,additions,deletions,changed_files
427,jimCresswell,feat(agent-tools): relocate usage gauges to the statusline repo-title row,2026-07-20T09:34:53Z,2026-07-20T09:34:53Z,2026-07-20T10:47:54Z,73.0,3,4,4,8,8,96,41,2
424,jimCresswell,AIP-137: docs(design): land the Stage-B interchange-contract concept exploration,2026-07-20T09:02:31Z,2026-07-20T09:02:47Z,2026-07-20T12:17:52Z,195.1,10,12,19,30,31,316,0,1
420,jimCresswell,AIP-137: fix(design): localise Roboto Mono — the kit's last runtime network call,2026-07-20T06:40:56Z,2026-07-20T06:40:56Z,2026-07-20T12:41:20Z,360.4,6,5,2,9,7,218,17,11
426,jimCresswell,docs(plan): ARC-colour statusline infrastructure port plan,2026-07-20T09:22:21Z,2026-07-20T09:22:21Z,2026-07-20T12:42:38Z,200.3,11,4,51,63,55,344,2,3
428,jimCresswell,docs(architecture): record adr-214 arc-colour statusline infrastructure,2026-07-20T09:50:54Z,2026-07-20T09:50:54Z,2026-07-20T12:42:53Z,172.0,4,4,6,11,10,82,0,2
415,dependabot,chore(deps): bump actions/setup-node from 6.4.0 to 7.0.0,2026-07-20T03:14:59Z,2026-07-20T03:14:59Z,2026-07-20T12:43:30Z,568.5,2,4,0,1,4,2,2,2
406,jimCresswell,AIP-131: record Codex hook discovery result,2026-07-17T08:05:01Z,2026-07-20T12:44:06Z,2026-07-20T12:45:38Z,1.5,2,4,0,1,4,63,0,1
431,jimCresswell,AIP-137: fix(design): harden the theme runtime against embed truncation and bad ,2026-07-20T12:28:35Z,2026-07-20T12:28:35Z,2026-07-20T13:08:22Z,39.8,3,5,1,5,6,48,6,3
413,jimCresswell,AIP-137: feat(hub): consume the design system as the token source (slice 1),2026-07-19T21:36:12Z,2026-07-19T21:36:12Z,2026-07-20T14:09:59Z,993.8,22,5,57,74,62,1492,484,77
414,jimCresswell,AIP-137: docs(practice): proof-instrument taxonomy concept exploration,2026-07-19T21:49:58Z,2026-07-19T21:49:58Z,2026-07-20T14:54:10Z,1024.2,13,5,12,26,17,247,1,2
432,jimCresswell,docs(plan): amend the arc-colour estate to the adoption-forward ruling,2026-07-20T13:00:00Z,2026-07-20T13:00:00Z,2026-07-20T16:19:18Z,199.3,11,11,14,25,25,112,80,4
446,jimCresswell,docs(consolidation): dedicated knowledge-curation pass 2026-07-20 — drive-genera,2026-07-20T17:20:20Z,2026-07-20T17:20:20Z,2026-07-20T19:07:33Z,107.2,57,3,0,1,3,8732,5720,142
433,jimCresswell,"AIP-143: fix(security): pin gitleaks transport, gate npm install scripts, add S6",2026-07-20T13:57:17Z,2026-07-20T13:57:17Z,2026-07-20T19:13:51Z,316.6,10,5,11,22,16,93,5,3
438,jimCresswell,fix(hub): controls onto the kit surface and btn-secondary roles (AIP-137 §6 slic,2026-07-20T14:32:57Z,2026-07-20T14:32:57Z,2026-07-20T19:15:36Z,282.6,5,4,14,19,18,39,23,12
440,jimCresswell,fix(hub): move card and tint surfaces onto kit roles (AIP-137 §6 slice 2),2026-07-20T14:46:13Z,2026-07-20T14:46:13Z,2026-07-20T19:16:00Z,269.8,4,4,6,11,10,46,31,15
444,jimCresswell,fix(hub): re-point the token-audit authority at the in-repo kit (AIP-137 §7a),2026-07-20T15:40:54Z,2026-07-20T15:40:54Z,2026-07-20T19:16:31Z,215.6,1,4,0,2,4,24,39,2
442,jimCresswell,AIP-149: docs(design): ADR-213 §2 per-consumer projection amendment + Stage-B pl,2026-07-20T15:06:24Z,2026-07-20T15:06:24Z,2026-07-20T19:16:53Z,250.5,7,5,11,19,16,100,11,2
441,jimCresswell,feat(agent-tools): sanctioned --exclude-tag on comms watch (F-146) + F-75 pairin,2026-07-20T15:04:22Z,2026-07-20T15:04:22Z,2026-07-20T19:17:15Z,252.9,2,4,4,7,8,840,251,21
443,jimCresswell,fix(hub): move pedagogy-block surfaces onto kit roles (AIP-137 §6 slice 3),2026-07-20T15:28:18Z,2026-07-20T15:28:18Z,2026-07-20T19:17:34Z,229.3,3,4,5,9,9,44,31,14
445,jimCresswell,feat(agent-tools): usage gauges join the model row (ws-a-cycle-2),2026-07-20T16:34:05Z,2026-07-20T16:34:05Z,2026-07-20T19:17:53Z,163.8,2,4,1,4,5,56,56,3
436,jimCresswell,feat(agent-tools): actionable seeding error for missing collaboration state file,2026-07-20T14:10:05Z,2026-07-20T14:10:05Z,2026-07-20T19:18:23Z,308.3,13,3,26,40,29,545,50,19
419,jimCresswell,AIP-131: docs(continuity): conserve PR 406 facts into the codex hook thread reco,2026-07-20T06:36:59Z,2026-07-20T06:36:59Z,2026-07-20T19:19:27Z,762.5,5,5,4,10,9,33,20,1
429,jimCresswell,AIP-137: feat(design): dtcg↔CSS consistency validator (cycle-3 deferred item 3),2026-07-20T10:26:13Z,2026-07-20T10:26:13Z,2026-07-20T19:19:49Z,533.6,20,4,20,42,24,1666,55,14
435,jimCresswell,AIP-144: fix(agent-tools): pre-commit knip leg no longer reads a crash as a pass,2026-07-20T14:09:11Z,2026-07-20T14:09:11Z,2026-07-20T19:20:11Z,311.0,7,4,11,19,15,363,66,10
447,jimCresswell,AIP-155: docs(practice): fold PDR-131 into pr-lifecycle — arm at settled-READY u,2026-07-20T19:39:38Z,2026-07-20T19:39:38Z,2026-07-20T19:53:37Z,14.0,1,4,0,1,4,25,5,1
439,jimCresswell,docs: fresh-checkout experience concept-exploration report,2026-07-20T14:34:48Z,2026-07-20T14:45:59Z,2026-07-20T21:24:39Z,398.7,5,5,8,13,13,237,0,2
